pub_date	title	venue	excerpt	citation	url_slug	paper_url
None	CEKD: Cross ensemble knowledge distillation for augmented fine-grained data	This paper is about the number 1. The number 37 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(35)."	Ke Zhang, Jin Fan, Shaoli Huang, Yongliang Qiao, Xiaofeng Yu, Feiwei Qin, Applied Intelligence. 2022 Mar 24:1-1.		
None	Automated individual cattle identification using video data: A unified deep learning architecture approach	This paper is about the number 1. The number 38 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(36)."	Yongliang Qiao, Daobilige Su, He Kong, Salah Sukkarieh, Sabrina Lomax, Cameron Clark, Frontiers in Animal Science. 2021.		
None	BiGUR-attention based cow behavior classification using video data for precision livestock farming	This paper is about the number 1. The number 39 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(37)."	Yangyang Guo, Yongliang Qiao (Corresponding), Salah Sukkarieh, Lilong Chai, Dongjian He, Transactions of the ASABE. 2021.(IF 1.15)		
None	Visual localization across seasons using sequence matching based on multi-feature combination	This paper is about the number 1. The number 40 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(38)."	Yongliang Qiao, Cindy Cappelle and Yassine Ruichek,  Sensors 17.11 (2017): 24-42. (IF 3.576)		
None	Visual Localization by Place Recognition Based on Multifeature (D-λLBP++HOG)	This paper is about the number 1. The number 41 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(39)."	Yongliang Qiao, Zhao Zhang, Cindy Cappelle and Yassine Ruichek, Journal of Sensors, vol. 2017. (IF 2.137)		
None	Multiframe-Based High Dynamic Range Monocular Vision System for Advanced Driver Assistance Systems	This paper is about the number 1. The number 42 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(40)."	You Li, Yongliang Qiao and Yassine Ruichek, In IEEE Sensors Journal, vol. 15(10), pp. 5433 - 5441, IEEE, 2015. (IF: 3.437)		
None	Corn Field Weeds Recognition Based on Multi-spectral Images and SVM	This paper is about the number 1. The number 43 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(41)."	Yongliang Qiao, Dongjian He, Zhao Chuanyuan, et al, Journal of Agricultural Mechanization Research, 2013,(8).		
None	Method of Multi-feature Fusion Based on SVM-DS in Weed Recognition	This paper is about the number 1. The number 44 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(42)."	Dongjian He, Yongliang Qiao, Pan Li, et al., Transactions of the Chinese Society of Agricultural Machinery, 2013,(2).		
None	Plant Leaves Classification Based on Image Processing and SVM	This paper is about the number 1. The number 45 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(43)."	Lei WEI, Dongjian He, Yongliang Qiao, Journal of Agricultural Mechanization Research, 2013, (5).		
None	Method of Multi-feature Weed Detection Based on Multi-spectral Image and Date Mining	This paper is about the number 1. The number 46 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(44)."	"Chuanyuan Zhao, Dongjian He, Yongliang Qiao, Transactions of the Chinese Society of Agricultural Engineering, 2012, 12. "		
None	Research on soil moisture measurement based on UV-VIS and NIRS	This paper is about the number 1. The number 47 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(45)."	Zhan Gao, Dongjian He, Yongliang Qiao, Journal of Agricultural Mechanization Research, 2013.		
None	Ergonomic Analysis of a Low-Cost Fresh Market Apple Harvest-Assist Unit. Mechanical Harvest of Fresh Market Apples	This paper is about the number 1. The number 47 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(45)."	Zhaohua Zhang, Yongliang Qiao, Hu Liu, Zhao Zhang, and Minzan Li, Springer, Singapore, 2022. 55-69.		
